Cuisine,Ingredient,Count
Persian,butter,6
Persian,basmati rice,5
Persian,saffron,5
Persian,all-purpose flour,5
Chinese,soy sauce,43
Chinese,vegetable oil,27
Chinese,water,23
Chinese,garlic,22
Chinese,sesame oil,20
Chinese,salt,16
Chinese,egg,11
Chinese,eggs,10
Chinese,all-purpose flour,8
Chinese,brown sugar,8
Russian,salt,33
Russian,all-purpose flour,27
Russian,sour cream,21
Russian,butter,20
Russian,onion,17
Russian,water,15
Russian,vegetable oil,13
Russian,potatoes,12
Russian,eggs,12
Russian,egg,11
French,butter,27
French,salt,22
French,all-purpose flour,17
French,olive oil,14
French,garlic,11
French,eggs,11
French,water,9
French,milk,7
French,lemon juice,5
French,dijon mustard,5
Korean,soy sauce,30
Korean,sesame oil,28
Korean,garlic,25
Korean,vegetable oil,13
Korean,water,13
Korean,brown sugar,10
Korean,onion,9
Korean,salt,9
Korean,green onion,7
Korean,black pepper,5
Australian,salt,24
Australian,all-purpose flour,24
Australian,butter,18
Australian,eggs,18
Australian,baking powder,12
Australian,milk,9
Australian,egg,8
Australian,water,7
Australian,golden syrup,6
Australian,coconut milk,6
Brazilian,eggs,17
Brazilian,water,17
Brazilian,garlic,15
Brazilian,olive oil,15
Brazilian,salt,15
Brazilian,milk,14
Brazilian,onion,13
Brazilian,all-purpose flour,12
Brazilian,baking powder,10
Brazilian,butter,9
Scandinavian,all-purpose flour,35
Scandinavian,salt,35
Scandinavian,butter,26
Scandinavian,milk,21
Scandinavian,egg,15
Scandinavian,eggs,14
Scandinavian,water,12
Scandinavian,baking powder,8
Scandinavian,potatoes,4
Scandinavian,worcestershire sauce,4
Lebanese,salt,22
Lebanese,olive oil,21
Lebanese,garlic,17
Lebanese,water,14
Lebanese,lemon juice,12
Lebanese,onion,11
Lebanese,all-purpose flour,8
Lebanese,vegetable oil,6
Lebanese,lemon,5
Lebanese,baking powder,5
Spanish,garlic,27
Spanish,olive oil,21
Spanish,onion,18
Spanish,salt,11
Spanish,green bell pepper,9
Spanish,water,8
Spanish,red bell pepper,8
Spanish,lemon,7
Spanish,paprika,7
Spanish,eggs,6
Finnish,salt,13
Finnish,all-purpose flour,13
Finnish,butter,10
Finnish,milk,10
Finnish,eggs,8
Finnish,baking powder,4
Finnish,water,3
Finnish,margarine,2
Finnish,potatoes,2
Finnish,egg,2
Pakistani,salt,14
Pakistani,water,14
Pakistani,vegetable oil,11
Pakistani,onion,8
Pakistani,garlic,6
Pakistani,garam masala,6
Pakistani,tomatoes,5
Pakistani,cayenne pepper,5
Pakistani,potatoes,4
Pakistani,olive oil,3
Soul,salt,29
Soul,water,23
Soul,all-purpose flour,16
Soul,onion,14
Soul,garlic,13
Soul,cayenne pepper,11
Soul,butter,7
Soul,milk,7
Soul,olive oil,6
Soul,buttermilk,6
Amish,salt,38
Amish,all-purpose flour,30
Amish,eggs,25
Amish,milk,22
Amish,baking powder,17
Amish,vegetable oil,14
Amish,butter,11
Amish,onion,10
Amish,brown sugar,9
Amish,water,7
Austrian,all-purpose flour,17
Austrian,eggs,11
Austrian,salt,10
Austrian,butter,8
Austrian,baking powder,6
Austrian,egg,4
Austrian,milk,3
Austrian,water,3
Austrian,rum,2
Austrian,vegetable oil,2
German,all-purpose flour,21
German,butter,16
German,salt,15
German,eggs,15
German,onion,11
German,water,10
German,baking powder,9
German,milk,8
German,egg,7
German,bacon,6
Malaysian,garlic,16
Malaysian,vegetable oil,10
Malaysian,water,9
Malaysian,curry powder,9
Malaysian,coconut milk,8
Malaysian,salt,5
Malaysian,onion,4
Malaysian,brown sugar,4
Malaysian,olive oil,4
Malaysian,shallots,3
Norwegian,all-purpose flour,16
Norwegian,salt,14
Norwegian,butter,7
Norwegian,baking powder,7
Norwegian,eggs,6
Norwegian,bacon,3
Norwegian,egg,3
Norwegian,water,3
Norwegian,cabbage,3
Norwegian,sour cream,3
